 frequency       out             out            
 2.23872114e+02 -2.44699713e-02 -1.40801915e-01 
 2.29086765e+02 -2.55456615e-02 -1.44044411e-01 
 2.34422882e+02 -2.66736203e-02 -1.47359433e-01 
 2.39883292e+02 -2.78564594e-02 -1.50748412e-01 
 2.45470892e+02 -2.90969275e-02 -1.54212792e-01 
 2.51188643e+02 -3.03979178e-02 -1.57754021e-01 
 2.57039578e+02 -3.17624761e-02 -1.61373556e-01 
 2.63026799e+02 -3.31938098e-02 -1.65072852e-01 
 2.69153480e+02 -3.46952968e-02 -1.68853366e-01 
 2.75422870e+02 -3.62704952e-02 -1.72716552e-01 
 2.81838293e+02 -3.79231542e-02 -1.76663854e-01 
 2.88403150e+02 -3.96572242e-02 -1.80696702e-01 
 2.95120923e+02 -4.14768692e-02 -1.84816510e-01 
 3.01995172e+02 -4.33864789e-02 -1.89024668e-01 
